job_title,company_name,location,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry
"Data Scientist, Gen AI",Meta,"Menlo Park, CA",3 days ago,156 applicants,"$206,000.00/yr - $281,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Entry/Junior Level Data Scientist/Python Programmer,SynergisticIT,"San Jose, CA",2 months ago,31 applicants,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Remote Data Scientist - Junior/Entry,SynergisticIT,"San Jose, CA",4 months ago,,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Head of Growth,Contextual AI,"Mountain View, CA",6 days ago,57 applicants,"$150,000.00/yr - $250,000.00/yr",Director,Full-time,Marketing and Sales,"Technology, Information and Internet"
Entry Level Business/Data Analyst,SynergisticIT,"San Mateo, CA",3 months ago,146 applicants,"$90,000.00/yr - $135,000.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Data Analyst/Engineer - Entry/Junior,SynergisticIT,"Palo Alto, CA",1 week ago,89 applicants,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting and Civil Engineering
entry level Java full stack developer with devops/Entry level data scientist with python,SynergisticIT,"Los Angeles, CA",3 days ago,83 applicants,"$81,000.00/yr - $128,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Media and IT Services and IT Consulting"
"Entry Level Industrial Engineer, application via RippleMatch",RippleMatch,"Los Angeles, CA",3 weeks ago,,,Entry level,Full-time,Management and Manufacturing,"Technology, Information and Internet"
Junior/Entry Data Analyst,SynergisticIT,"Long Beach, CA",3 months ago,95 applicants,"$110,000.00/yr - $120,000.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Associate Creative Director - Art,IW Group Inc.,"Los Angeles, CA",3 days ago,122 applicants,"$110,000.00/yr - $120,000.00/yr",Mid-Senior level,Full-time,Art/Creative,Advertising Services
"AWS Architect with Java, Spring Boot exp",SPAR Information Systems LLC,"Los Angeles, CA",1 month ago,27 applicants,"$120,000.00/yr - $160,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,Information Technology & Services
"Software Engineer, Gen AI/ML, Computational Photography",Google,"Los Angeles, CA",1 week ago,40 applicants,"$160,000.00/yr - $239,000.00/yr",Mid-Senior level,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
"Director, Data Science",Red Bull,"Santa Monica, CA",2 weeks ago,132 applicants,"$155,000.00/yr - $175,000.00/yr",Director,Full-time,Other,Food and Beverage Services
Data Analyst (Remote),SynergisticIT,"Los Angeles, CA",1 month ago,73 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Junior Data Scientist (Remote),SynergisticIT,"Los Angeles, CA",1 month ago,93 applicants,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
"Entry Level Data Analyst, application via RippleMatch",RippleMatch,"Los Angeles, CA",3 weeks ago,,"$80,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Google Cloud Director AI,Slalom,"Los Angeles, CA",1 week ago,,"$140,000.00/yr - $307,000.00/yr",Director,Full-time,Engineering and Information Technology,Business Consulting and Services
"Market Research Analyst, application via RippleMatch",RippleMatch,"Los Angeles, CA",2 weeks ago,,"$102,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Marketing and Sales,"Technology, Information and Internet"
Entry Level Data Analyst,SynergisticIT,"Los Angeles, CA",1 month ago,110 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
"Software Engineer, Gen AI/ML, Computational Photography",Google,"Los Angeles, CA",1 week ago,40 applicants,"$161,000.00/yr - $239,000.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
Junior Data Scientist (Remote),SynergisticIT,"Sacramento, CA",3 months ago,,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Software Developer - Junior,SynergisticIT,"Elk Grove, CA",2 months ago,39 applicants,"$70,000.00/yr - $90,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Advanced AI Research Scientist Associate Manager,Accenture,"Sacramento, CA",1 month ago,,"$73,000.00/yr - $220,400.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Business Consulting and Services
Cell Operator,Symbotic,"Woodland, CA",1 day ago,,,Entry level,Full-time,Management and Manufacturing,"Automation Machinery Manufacturing, Software Development, and Industrial Automation"
Automation Maintenance Manager,Symbotic,"Woodland, CA",1 day ago,,"$160,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Management and Manufacturing,"Automation Machinery Manufacturing, Software Development, and Industrial Automation"
Automation Maintenance Technician (All Levels),Symbotic,"Woodland, CA",1 day ago,,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,Management and Manufacturing,"Automation Machinery Manufacturing, Software Development, and Industrial Automation"
"Principal AI Architect - Telecom, Media & Tech (TMT) - Senior Manager - Consulting - Location Open",EY,"Sacramento, CA",2 weeks ago,,"$160,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,"Design, Art/Creative, and Information Technology",IT Services and IT Consulting
Enterprise Tech - Tech Lead - Gen AI Solutions,PwC,"Sacramento, CA",2 weeks ago,,"$124,000.00/yr - $280,000.00/yr",Not Applicable,Full-time,Information Technology,"Accounting, Financial Services, and Business Consulting and Services"
Data Architect,Kiddom,"San Francisco, CA",1 week ago,,"$150,000.00/yr - $200,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,E-Learning Providers
Data Infra & Governance Architect,TekTRnd,"Alameda, CA",6 days ago,,$75.00/hr - $85.00/hr,Director,Contract,"Design, Art/Creative, and Information Technology",Business Consulting and Services
Solutions Architect - Startups,Databricks,"Berkeley, CA",6 days ago,,"$220,000.00/yr - $325,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
"Senior Data Scientist, Analytics - User Lifecycle",Discord,"San Francisco, CA",1 week ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Data Architect,Highnote,"San Francisco, CA",1 week ago,,"$170,000.00/yr - $230,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Big Data Architect,"Unreal Staffing, Inc","San Francisco, CA",6 months ago,28 applicants,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Data Infra & Governance Architect,TekTRnd,"San Francisco, CA",6 days ago,,$75.00/hr - $85.00/hr,Director,Contract,"Design, Art/Creative, and Information Technology",Business Consulting and Services
Senior Data Architect,"Unreal Staffing, Inc","San Francisco, CA",5 months ago,182 applicants,"$190,000.00/yr - $250,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Data Architect,"Unreal Staffing, Inc","San Francisco, CA",5 months ago,67 applicants,"$150,000.00/yr - $230,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
"Senior Data Scientist, Analytics - User Lifecycle",Discord,"San Francisco, CA",1 week ago,,"$183,000.00/yr - $201,500.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Solutions Architect - Startups,Databricks,"San Francisco, CA",6 days ago,25 applicants,"$220,000.00/yr - $325,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
"Senior Architect, Data Analytics /AI-ML",Guidewire Software,"San Mateo, CA",1 week ago,177 applicants,"$180,000.00/yr - $210,000.00/yr",Not Applicable,Full-time,"Design, Art/Creative, and Information Technology","Transportation, Logistics, Supply Chain and Storage"
Solutions Architect,Sahara AI,"San Francisco, CA",2 months ago,27 applicants,"$200,000.00/yr - $275,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Data Architect,Highnote,"San Francisco, CA",1 week ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Solutions Architect, Data Center Infrastructure",NVIDIA,"Santa Clara, CA",4 days ago,,"$148,000.00/yr - $276,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing"
Azure Data Architect,TekTRnd,"Santa Clara, CA",2 weeks ago,,$65.00/hr - $70.00/hr,Mid-Senior level,Full-time,Engineering and Information Technology,Business Consulting and Services
Solutions Architect - Startups,Databricks,"Mountain View, CA",6 days ago,,"$220,000.00/yr - $325,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
"Data Center Systems Architect, Sustainability",Google,"Sunnyvale, CA",2 days ago,,"$130,000.00/yr - $160,000.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
Solutions Architect,Productiv,"Palo Alto, CA",1 week ago,45 applicants,"$140,000.00/yr - $160,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Senior Solution Architect,"Arrcus, Inc.","San Jose, CA",3 days ago,,"$150,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Computer Networking Products
Data Architect,PayPal,"San Jose, CA",1 month ago,64 applicants,"$130,000.00/yr - $160,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Software Development, Financial Services, and Technology, Information and Internet"
Data Infra & Governance Architect,TekTRnd,"Santa Clara, CA",6 days ago,,$75.00/hr - $85.00/hr,Director,Contract,"Design, Art/Creative, and Information Technology",Business Consulting and Services
Solutions Architect,Productiv,"Palo Alto, CA",1 week ago,45 applicants,"$200,000.00/yr - $275,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Solutions Architect, AI Infrastructure",NVIDIA,"Santa Clara, CA",3 days ago,,"$148,000.00/yr - $230,000.00/yr",Mid-Senior level,Full-time,Sales,"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing"
Data Architect,Maxonic,"Palo Alto, CA",2 days ago,39 applicants,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Information Technology,Information Technology & Services
Data Architect,Maxonic,"Palo Alto, CA",3 weeks ago,103 applicants,"$160,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering,Data Infrastructure and Analytics
Data Architect,Maxonic,"Palo Alto, CA",2 days ago,39 applicants,"$160,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Information Technology,Information Technology & Services
Data Architect,CriticalRiver Inc.,"Pleasanton, CA",1 month ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Consulting,"Technology, Information and Media"
"Data Center Systems Architect, Sustainability",Google,"Sunnyvale, CA",2 days ago,,"$139,000.00/yr - $207,000.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
EPM Platform Architect & Lead,Western Digital,"San Jose, CA",6 days ago,,"$121,975.00/yr - $172,800.00/yr",Mid-Senior level,Full-time,Information Technology,"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing"
Data Architect,Radiansys Inc.,"Alameda, CA",2 days ago,89 applicants,"$150,000.00/yr - $200,000.00/yr",Mid-Senior level,Contract,Information Technology,"Technology, Information and Media"
IT Solutions Architect,Los Angeles Unified School District,Los Angeles Metropolitan Area,2 weeks ago,42 applicants,"$181,000.00/yr - $225,000.00/yr",Executive,Full-time,Engineering and Information Technology,Education Administration Programs
Data Architect / Data Manager / Product Owner,HireKeyz Inc,"San Diego, CA",4 months ago,36 applicants,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
"IT Architect, Sr Staff (Data Center Solutions Architect)",Qualcomm,"San Diego, CA",3 months ago,25 applicants,"$138,500.00/yr - $207,500.00/yr",Not Applicable,Full-time,Other,Telecommunications
"IT Architect, Sr Staff",Qualcomm,"San Diego, CA",1 month ago,32 applicants,"$138,500.00/yr - $207,500.00/yr",Not Applicable,Full-time,Other,Telecommunications
Data Architect (Cleared),"IT Concepts, Inc","San Diego, CA",1 week ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Senior Data Architect,Cynet Systems,"San Diego, CA",5 months ago,,,Entry level,Full-time,Engineering and Information Technology,Information Technology & Services
Director Cloud Architecture,"Veracyte, Inc.","San Diego, CA",1 day ago,43 applicants,"$180,000.00/yr - $200,000.00/yr",Director,Full-time,Engineering and Information Technology,Biotechnology Research
Data Architect,"Conch Technologies, Inc","San Diego, CA",4 months ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Architect,"MedImpact Healthcare Systems, Inc.","San Diego, CA",2 days ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Hospitals and Health Care
Principal Enterprise Data Architect,Qualcomm,"San Diego, CA",2 months ago,93 applicants,"$168,400.00/yr - $252,600.00/yr",Not Applicable,Full-time,Other,Telecommunications
Cloud Data Solution Architect,Itility,"San Diego, CA",1 month ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Senior Data Architect,Cynet Systems,"San Diego, CA",5 months ago,,"$160,000.00/yr - $180,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Information Technology & Services
Senior Data Platform Architect,DS Technologies Inc,"Santa Monica, CA",6 days ago,25 applicants,"$120,000.00/yr - $160,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting
"VP, Enterprise Architecture",Sony Pictures Entertainment,"Culver City, CA",,,"$266,000.00/yr - $315,000.00/yr",Executive,Full-time,Engineering and Information Technology,Entertainment Providers
Data Architect,"Estrada Consulting, Inc","Los Angeles, CA",1 month ago,,$70.00/hr - $75.00/hr,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Solutions Architect,Sahara AI,"Los Angeles, CA",2 months ago,26 applicants,"$200,000.00/yr - $275,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Data Architect,GOBankingRates,"Los Angeles, CA",4 months ago,64 applicants,"$220,000.00/yr - $240,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Solutions Architect - Emerging Enterprise,Databricks,"Los Angeles, CA",1 week ago,,"$220,000.00/yr - $325,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Data Architect,MARSHALL TECHNOLOGIES INC,"Los Angeles, CA",2 weeks ago,,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Solutions Architect - Startups,Databricks,"Los Angeles, CA",6 days ago,30 applicants,"$220,000.00/yr - $325,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Senior Data Architect,Electronic Arts (EA),"Marina del Rey, CA",2 days ago,,"$142,900.00/yr - $239,700.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology","Computer Games, IT Services and IT Consulting, and Software Development"
Research Analyst,Dechert LLP,San Francisco Bay Area,2 days ago,53 applicants,"$96,500.00/yr - $120,500.00/yr",Associate,Full-time,"Research, Information Technology, and Legal",Law Practice
"Quantitative User Experience Researcher, Early Career 2024",Google,"Sunnyvale, CA",3 days ago,,"$102,000.00/yr - $150,000.00/yr",Entry level,Full-time,"Art/Creative, Design, and Engineering","Information Services and Technology, Information and Internet"
